index,Number_of_Priors,score_factor,Age_Above_FourtyFive,Age_Below_TwentyFive,African_American,Asian,Hispanic,Native_American,Other,Female,Misdemeanor,biased_lr,biased_rf,Two_yr_Recidivism
1559,0,0,1,0,0,0,0,0,0,0,1,0,0,0
876,13,1,0,0,1,0,0,0,0,0,1,1,1,1
6157,4,1,0,0,1,0,0,0,0,0,0,1,1,0
385,1,0,0,0,0,0,0,0,0,0,0,0,0,1
4382,4,1,0,0,1,0,0,0,0,1,0,0,1,0
2470,0,0,0,0,0,0,0,0,0,1,1,0,0,0
5234,1,0,1,0,1,0,0,0,0,0,1,0,0,0
3070,2,1,0,1,1,0,0,0,0,1,0,1,1,0
4084,19,1,0,0,1,0,0,0,0,0,1,1,1,0
2766,0,0,1,0,0,0,0,0,1,0,1,0,0,0
4432,0,1,0,1,1,0,0,0,0,0,0,1,1,0
1053,1,0,0,1,1,0,0,0,0,0,0,1,0,1
271,2,1,0,1,1,0,0,0,0,0,0,1,1,1
3317,0,0,1,0,1,0,0,0,0,0,1,0,0,0
303,1,0,0,1,0,0,0,0,1,1,0,0,0,0
4949,5,1,0,0,1,0,0,0,0,1,1,0,1,0
281,0,0,0,1,1,0,0,0,0,0,0,0,0,0
3681,1,0,0,0,0,0,0,0,0,0,0,0,0,0
3723,0,1,0,1,1,0,0,0,0,0,1,1,1,1
4835,4,0,0,0,0,0,0,0,0,0,0,0,0,0
2360,3,0,0,0,0,0,0,0,0,0,0,0,0,1
3034,1,0,1,0,0,0,0,0,0,1,1,0,0,0
3004,0,0,0,0,1,0,0,0,0,0,1,0,0,1
1217,4,0,1,0,1,0,0,0,0,0,1,0,0,0
1835,0,1,0,1,0,0,0,0,1,1,1,0,0,1
137,3,1,0,0,0,0,0,0,0,1,0,0,1,1
3778,1,0,0,1,1,0,0,0,0,0,1,0,0,0
4329,2,1,0,0,1,0,0,0,0,0,0,1,1,1
4707,2,0,1,0,0,0,0,0,0,0,1,0,0,0
4408,0,0,0,1,1,0,0,0,0,0,1,0,0,1
4900,1,0,0,0,0,0,1,0,0,1,0,0,0,0
6061,5,0,0,0,0,0,0,0,0,1,0,0,0,1
4501,6,1,0,0,1,0,0,0,0,0,0,1,1,1
1912,3,0,0,0,0,0,0,0,0,0,0,0,0,0
1836,0,0,0,0,0,0,1,0,0,0,1,0,0,0
3073,3,1,0,0,1,0,0,0,0,0,0,1,1,1
3000,4,0,0,0,1,0,0,0,0,0,1,0,0,0
3272,3,0,0,0,0,0,1,0,0,0,1,0,0,0
546,8,1,0,0,1,0,0,0,0,0,0,1,1,1
1739,3,1,0,1,1,0,0,0,0,0,0,1,1,1
345,0,0,0,0,0,0,0,0,0,0,1,0,0,1
3455,4,1,0,1,1,0,0,0,0,0,0,1,1,0
4343,0,0,1,0,1,0,0,0,0,0,1,0,0,0
2070,0,0,1,0,0,0,0,0,0,0,1,0,0,0
3475,1,1,0,0,1,0,0,0,0,0,0,0,0,0
4618,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5643,0,0,0,0,0,0,0,0,0,1,0,0,0,0
5980,10,1,0,1,1,0,0,0,0,0,0,1,1,1
2704,0,0,0,1,1,0,0,0,0,1,1,0,0,0
4846,2,0,0,1,0,0,0,0,0,0,0,1,0,1
3676,2,0,1,0,0,0,0,0,0,0,0,0,0,0
1674,2,0,1,0,0,0,0,0,0,0,0,0,0,0
5893,15,1,0,0,1,0,0,0,0,0,0,1,1,1
3704,2,0,0,0,1,0,0,0,0,0,0,0,0,0
3198,1,1,0,1,1,0,0,0,0,0,0,1,1,0
402,3,0,0,0,0,0,0,0,0,0,0,0,0,0
2794,0,0,0,0,0,0,0,0,0,0,1,0,0,1
1124,0,1,0,0,0,0,0,0,0,0,0,0,0,1
1099,7,0,1,0,1,0,0,0,0,0,0,0,0,1
4790,4,1,0,0,1,0,0,0,0,0,1,1,1,0
786,19,1,0,0,1,0,0,0,0,0,0,1,1,1
2793,6,1,0,0,1,0,0,0,0,0,0,1,1,1
1312,1,0,1,0,0,0,0,0,0,0,0,0,0,0
2148,1,0,1,0,1,0,0,0,0,0,1,0,0,0
1050,1,0,0,0,1,0,0,0,0,0,0,0,0,0
3025,2,0,1,0,0,0,0,0,0,0,0,0,0,0
2870,23,1,0,0,1,0,0,0,0,0,0,1,1,1
3114,1,0,1,0,0,0,0,0,1,0,1,0,0,0
37,2,0,0,0,0,0,0,0,0,0,1,0,0,1
1984,3,0,1,0,1,0,0,0,0,0,0,0,0,0
567,0,0,1,0,0,0,0,0,1,0,0,0,0,0
381,13,1,0,0,1,0,0,0,0,0,1,1,1,1
1127,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3982,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1220,0,1,0,1,1,0,0,0,0,1,1,0,0,0
3238,0,0,0,0,1,0,0,0,0,0,0,0,0,0
5635,13,1,1,0,1,0,0,0,0,0,1,1,1,0
3179,4,1,0,0,1,0,0,0,0,0,0,1,1,1
1952,1,1,0,1,1,0,0,0,0,1,0,1,1,0
1144,7,1,0,0,1,0,0,0,0,0,0,1,1,1
6073,0,0,0,0,1,0,0,0,0,0,1,0,0,1
4668,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2631,0,0,1,0,0,0,0,0,0,1,0,0,0,1
3305,0,0,0,0,1,0,0,0,0,0,0,0,0,0
4842,11,1,0,0,0,0,0,0,0,0,0,1,1,1
1403,11,1,0,0,1,0,0,0,0,0,0,1,1,0
4213,11,0,0,0,0,0,0,0,0,0,0,1,1,1
145,5,1,0,0,1,0,0,0,0,1,0,1,1,0
1437,2,1,0,0,1,0,0,0,0,1,0,0,0,1
5972,0,1,0,1,0,0,0,0,0,0,1,1,1,0
266,0,0,1,0,0,0,0,0,0,1,1,0,0,0
52,15,1,0,0,1,0,0,0,0,0,0,1,1,1
5597,1,1,0,1,1,0,0,0,0,0,0,1,1,1
6142,2,1,1,0,0,0,0,0,0,1,0,0,0,0
2555,5,1,0,0,1,0,0,0,0,0,0,1,1,1
4247,10,1,0,0,0,0,0,0,0,0,0,1,1,0
2785,2,1,0,0,1,0,0,0,0,0,0,1,1,1
3710,0,0,0,0,1,0,0,0,0,0,0,0,0,0
5990,10,1,0,0,1,0,0,0,0,0,0,1,1,1
5850,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1743,1,0,1,0,1,0,0,0,0,0,0,0,0,0
1256,2,0,0,0,0,0,0,1,0,0,0,0,0,0
1632,3,0,0,0,0,0,0,0,0,0,1,0,0,0
2908,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1274,0,0,0,1,0,0,0,0,0,0,0,0,0,0
3336,0,0,1,0,0,0,0,0,0,0,1,0,0,0
1814,1,0,1,0,0,0,0,0,0,1,0,0,0,0
1334,11,1,0,0,1,0,0,0,0,0,0,1,1,0
3986,0,0,0,0,1,0,0,0,0,0,1,0,0,1
2405,6,0,1,0,1,0,0,0,0,0,1,0,0,1
5548,1,0,0,0,1,0,0,0,0,0,1,0,0,0
4034,0,1,0,0,0,0,0,0,0,0,0,0,0,1
5572,0,0,1,0,0,0,0,0,0,0,1,0,0,0
3846,5,0,0,0,1,0,0,0,0,0,0,0,0,0
3749,7,1,0,0,1,0,0,0,0,0,0,1,1,1
2948,11,1,0,0,1,0,0,0,0,1,0,1,1,0
1286,0,1,0,1,0,0,0,0,0,0,0,1,1,1
2871,25,1,0,0,1,0,0,0,0,0,1,1,1,1
6051,2,1,0,0,1,0,0,0,0,0,1,0,1,1
3967,0,0,1,0,0,0,0,0,1,0,0,0,0,0
4009,3,1,1,0,1,0,0,0,0,0,0,0,1,1
3194,2,1,1,0,0,0,0,0,0,0,0,0,0,1
5320,3,0,0,0,1,0,0,0,0,1,0,0,0,0
1076,0,0,0,0,1,0,0,0,0,0,0,0,0,0
300,2,0,0,0,1,0,0,0,0,0,1,0,0,0
3068,1,0,1,0,0,0,1,0,0,0,1,0,0,1
118,1,0,0,0,1,0,0,0,0,0,1,0,0,0
3359,29,1,0,0,1,0,0,0,0,0,0,1,1,1
3308,9,0,1,0,0,0,0,0,0,0,0,0,0,1
2744,3,0,0,0,1,0,0,0,0,1,0,0,0,1
6134,1,1,0,0,1,0,0,0,0,0,1,0,0,0
2905,8,1,0,1,0,0,0,0,0,0,0,1,1,0
5494,2,0,1,0,1,0,0,0,0,0,1,0,0,0
95,0,1,0,0,0,0,0,0,0,0,0,0,0,0
48,0,1,0,0,0,0,1,0,0,0,1,0,0,0
1855,4,1,0,0,1,0,0,0,0,0,0,1,1,0
1605,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6141,7,1,1,0,1,0,0,0,0,0,1,1,1,1
2443,18,1,1,0,1,0,0,0,0,0,1,1,1,1
1151,0,0,0,1,1,0,0,0,0,1,1,0,0,0
5532,8,1,0,1,1,0,0,0,0,0,0,1,1,1
