index,Age,Age_invalid_flag,Fare,Fare_invalid_flag,Sex,Cabin,Ticket,SibSp,Embarked,Parch,Pclass,Name,biased_lr,biased_rf,unbiased_lr,unbiased_rf,Survived
323,22.0,0,29.0,0,0,-2,354,1,0,1,2,-2,1,1,0,1,1
809,33.0,0,53.1,0,0,87,383,1,0,0,1,-2,1,1,1,1,1
847,35.0,0,7.8958,0,1,-2,-2,0,1,0,0,-2,0,0,0,0,0
50,7.0,0,39.6875,0,1,-2,186,6,0,1,0,-2,0,0,0,0,0
514,24.0,0,7.4958,0,1,-2,-2,0,0,0,0,-2,0,0,0,0,0
381,1.0,0,15.7417,0,0,-2,488,0,1,2,0,-2,0,1,0,1,1
457,28.0,1,51.8625,0,0,-2,-2,1,0,0,1,-2,1,1,0,1,1
639,28.0,1,16.1,0,1,-2,329,1,0,0,0,-2,0,0,0,0,0
681,27.0,0,76.7292,0,1,-2,-2,0,1,0,1,-2,0,0,1,1,1
270,28.0,1,31.0,0,1,-2,114,0,0,0,1,-2,0,0,0,0,0
588,22.0,0,8.05,0,1,-2,-2,0,0,0,0,-2,0,0,0,0,0
65,28.0,1,15.2458,0,1,-2,-2,1,1,1,0,-2,0,0,0,0,1
15,55.0,0,16.0,0,0,-2,-2,0,0,0,2,-2,1,1,0,0,1
273,37.0,0,29.7,0,1,-2,-2,0,1,1,1,-2,0,0,0,0,0
54,65.0,0,61.9792,0,1,-2,-2,0,1,1,1,-2,0,0,0,0,0
294,24.0,0,7.8958,0,1,-2,-2,0,0,0,0,-2,0,0,0,0,0
41,27.0,0,21.0,0,0,-2,-2,1,0,0,2,-2,1,1,1,0,0
229,28.0,1,25.4667,0,0,-2,21,3,0,1,0,-2,0,0,0,0,0
52,49.0,0,76.7292,0,0,-2,-2,1,1,0,1,-2,1,1,0,1,1
92,46.0,0,61.175,0,1,-2,-2,1,0,0,1,-2,0,0,0,1,0
589,28.0,1,8.05,0,1,-2,-2,0,0,0,0,-2,0,0,0,0,0
706,45.0,0,13.5,0,0,-2,-2,0,0,0,2,-2,1,1,1,0,1
750,4.0,0,23.0,0,0,-2,-2,1,0,1,2,-2,1,1,1,1,1
828,28.0,1,7.75,0,1,-2,-2,0,2,0,0,-2,0,0,0,0,1
356,22.0,0,55.0,0,0,91,401,0,0,1,1,-2,1,1,1,1,1
608,22.0,0,41.5792,0,0,-2,82,1,1,2,2,-2,1,1,1,1,1
651,18.0,0,23.0,0,0,-2,464,0,0,1,2,-2,1,1,0,1,1
788,1.0,0,20.575,0,1,-2,235,1,0,2,0,-2,0,0,0,0,1
76,28.0,1,7.8958,0,1,-2,-2,0,0,0,0,-2,0,0,0,0,0
14,14.0,0,7.8542,0,0,-2,-2,0,0,0,0,-2,1,0,0,0,0
333,16.0,0,18.0,0,1,-2,75,2,0,0,0,-2,0,0,0,0,0
175,18.0,0,7.8542,0,1,-2,-2,1,0,1,0,-2,0,0,0,0,0
199,24.0,0,13.0,0,0,-2,-2,0,0,0,2,-2,1,1,1,0,0
649,23.0,0,7.55,0,0,-2,-2,0,0,0,0,-2,1,0,0,0,1
680,28.0,1,8.1375,0,0,-2,-2,0,2,0,0,-2,1,1,0,0,0
462,47.0,0,38.5,0,1,-2,-2,0,0,0,1,-2,0,0,0,0,0
444,28.0,1,8.1125,0,1,-2,-2,0,0,0,0,-2,0,0,0,0,1
667,28.0,1,7.775,0,1,-2,-2,0,0,0,0,-2,0,0,0,0,0
665,32.0,0,73.5,0,1,-2,117,2,0,0,2,-2,0,0,0,0,0
822,38.0,0,0.0,0,1,-2,-2,0,0,0,1,-2,0,0,0,0,0
260,28.0,1,7.75,0,1,-2,-2,0,2,0,0,-2,0,0,0,0,0
531,28.0,1,7.2292,0,1,-2,-2,0,1,0,0,-2,0,0,0,0,0
786,18.0,0,7.4958,0,0,-2,-2,0,0,0,0,-2,1,0,0,0,1
635,28.0,0,13.0,0,0,-2,-2,0,0,0,2,-2,1,1,1,0,1
716,38.0,0,227.525,0,0,-2,377,0,1,0,1,-2,1,1,1,1,1
375,28.0,1,82.1708,0,0,-2,-2,1,1,0,1,-2,1,1,1,1,1
31,28.0,1,146.5208,0,0,-2,423,1,1,0,1,-2,1,1,0,1,1
210,24.0,0,7.05,0,1,-2,-2,0,0,0,0,-2,0,0,0,0,0
152,55.5,0,8.05,0,1,-2,-2,0,0,0,0,-2,0,0,0,0,0
100,28.0,0,7.8958,0,0,-2,-2,0,0,0,0,-2,0,0,0,0,0
731,11.0,0,18.7875,0,1,-2,-2,0,1,0,0,-2,0,0,0,0,0
415,28.0,1,8.05,0,0,-2,-2,0,0,0,0,-2,0,0,0,0,0
385,18.0,0,73.5,0,1,-2,117,0,0,0,2,-2,0,0,1,0,0
171,4.0,0,29.125,0,1,-2,227,6,2,1,0,-2,0,0,0,0,0
318,31.0,0,164.8667,0,0,-2,436,0,0,2,1,-2,1,1,0,1,1
271,25.0,0,0.0,0,1,-2,89,0,0,0,0,-2,0,0,0,0,1
211,35.0,0,21.0,0,0,-2,-2,0,0,0,2,-2,1,1,1,0,1
880,25.0,0,26.0,0,0,-2,30,0,0,1,2,-2,1,1,1,1,1
854,44.0,0,26.0,0,0,-2,-2,1,0,0,2,-2,1,1,0,1,0
783,28.0,1,23.45,0,1,-2,-2,1,0,2,0,-2,0,0,0,0,0
727,28.0,1,7.7375,0,0,-2,-2,0,2,0,0,-2,1,1,0,0,1
479,2.0,0,12.2875,0,0,-2,-2,0,0,1,0,-2,1,1,0,0,1
794,25.0,0,7.8958,0,1,-2,-2,0,0,0,0,-2,0,0,0,0,0
537,30.0,0,106.425,0,0,-2,238,0,1,0,1,-2,1,1,1,1,1
394,24.0,0,16.7,0,0,36,161,0,0,2,0,-2,0,1,0,0,1
629,28.0,1,7.7333,0,1,-2,-2,0,2,0,0,-2,0,0,0,0,0
595,36.0,0,24.15,0,1,-2,228,1,0,1,0,-2,0,0,0,0,0
188,40.0,0,15.5,0,1,-2,279,1,2,1,0,-2,0,0,0,0,0
799,30.0,0,24.15,0,0,-2,228,1,0,1,0,-2,0,0,0,0,0
823,27.0,0,12.475,0,0,66,302,0,0,1,0,-2,1,1,0,1,1
511,28.0,1,8.05,0,1,-2,-2,0,0,0,0,-2,0,0,0,0,0
108,38.0,0,7.8958,0,1,-2,-2,0,0,0,0,-2,0,0,0,0,0
721,17.0,0,7.0542,0,1,-2,-2,1,0,0,0,-2,0,0,0,0,0
48,28.0,1,21.6792,0,1,-2,-2,2,1,0,0,-2,0,0,0,0,0
284,28.0,1,26.0,0,1,-2,-2,0,0,0,1,-2,0,0,0,0,0
538,28.0,1,14.5,0,1,-2,-2,0,0,0,0,-2,0,0,0,0,0
257,30.0,0,86.5,0,0,-2,244,0,0,0,1,-2,1,1,1,1,1
759,33.0,0,86.5,0,0,-2,244,0,0,0,1,-2,1,1,0,1,1
446,13.0,0,19.5,0,0,-2,-2,0,0,1,2,-2,1,1,1,1,1
556,48.0,0,39.6,0,0,-2,-2,1,1,0,1,-2,1,1,0,1,1
548,33.0,0,20.525,0,1,-2,194,1,0,1,0,-2,0,0,0,0,0
598,28.0,1,7.225,0,1,-2,-2,0,1,0,0,-2,0,0,0,0,0
690,31.0,0,57.0,0,1,96,431,1,0,0,1,-2,0,1,1,1,1
685,25.0,0,41.5792,0,1,-2,82,1,1,2,2,-2,0,0,0,1,0
857,51.0,0,26.55,0,1,-2,-2,0,0,0,1,-2,0,0,0,0,1
207,26.0,0,18.7875,0,1,-2,-2,0,1,0,0,-2,0,0,0,0,1
637,31.0,0,26.25,0,1,-2,11,1,0,1,2,-2,0,0,0,0,0
698,49.0,0,110.8833,0,1,100,62,1,1,1,1,-2,0,1,1,1,0
22,15.0,0,8.0292,0,0,-2,-2,0,2,0,0,-2,1,1,0,0,1
573,28.0,1,7.75,0,0,-2,-2,0,2,0,0,-2,1,1,0,0,1
359,28.0,1,7.8792,0,0,-2,-2,0,2,0,0,-2,1,1,0,0,1
332,38.0,0,153.4625,0,1,-2,47,0,0,1,1,-2,0,0,1,1,0
117,29.0,0,21.0,0,1,-2,-2,1,0,0,2,-2,0,0,1,0,0
564,28.0,1,8.05,0,0,-2,-2,0,0,0,0,-2,0,0,0,0,0
287,22.0,0,7.8958,0,1,-2,-2,0,0,0,0,-2,0,0,0,0,0
644,0.75,0,19.2583,0,0,-2,373,2,1,1,0,-2,0,1,0,1,1
255,29.0,0,15.2458,0,0,-2,-2,0,1,2,0,-2,0,0,0,0,1
239,33.0,0,12.275,0,1,-2,-2,0,0,0,2,-2,0,0,1,0,0
886,27.0,0,13.0,0,1,-2,-2,0,0,0,2,-2,0,0,1,0,0
264,28.0,1,7.75,0,0,-2,-2,0,2,0,0,-2,1,1,0,0,0
400,39.0,0,7.925,0,1,-2,-2,0,0,0,0,-2,0,0,0,0,1
214,28.0,1,7.75,0,1,-2,-2,1,2,0,0,-2,0,0,0,0,0
167,45.0,0,27.9,0,0,-2,254,1,0,4,0,-2,0,0,0,0,0
66,29.0,0,10.5,0,0,12,-2,0,0,0,2,-2,1,1,1,1,1
160,44.0,0,16.1,0,1,-2,-2,0,0,1,0,-2,0,0,0,0,0
492,55.0,0,30.5,0,1,-2,-2,0,0,0,1,-2,0,0,0,0,0
839,28.0,1,29.7,0,1,-2,-2,0,1,0,1,-2,0,0,0,1,1
55,28.0,1,35.5,0,1,30,-2,0,0,0,1,-2,0,0,1,1,1
335,28.0,1,7.8958,0,1,-2,-2,0,0,0,0,-2,0,0,0,0,0
432,42.0,0,26.0,0,0,-2,-2,1,0,0,2,-2,1,1,0,1,1
597,49.0,0,0.0,0,1,-2,89,0,0,0,0,-2,0,0,0,0,0
49,18.0,0,17.8,0,0,-2,71,1,0,0,0,-2,0,0,0,0,0
732,28.0,1,0.0,0,1,-2,-2,0,0,0,2,-2,0,0,1,0,0
404,20.0,0,8.6625,0,0,-2,-2,0,0,0,0,-2,1,0,0,0,0
850,4.0,0,31.275,0,1,-2,232,6,0,2,0,-2,0,0,0,0,0
684,60.0,0,39.0,0,1,-2,41,1,0,1,2,-2,0,0,0,0,0
317,54.0,0,14.0,0,1,-2,-2,0,0,0,2,-2,0,0,0,0,0
202,34.0,0,6.4958,0,1,-2,-2,0,0,0,0,-2,0,0,0,0,0
439,31.0,0,10.5,0,1,-2,-2,0,0,0,2,-2,0,0,1,0,0
325,36.0,0,135.6333,0,0,-2,324,0,1,0,1,-2,1,1,1,1,1
477,29.0,0,7.0458,0,1,-2,-2,1,0,0,0,-2,0,0,0,0,0
140,28.0,1,15.2458,0,0,-2,121,0,1,2,0,-2,0,0,0,0,0
437,24.0,0,18.75,0,0,-2,191,2,0,6,2,-2,0,1,0,0,1
34,28.0,0,82.1708,0,1,-2,-2,1,1,0,1,-2,0,0,1,1,0
305,0.92,0,151.55,0,1,86,372,1,0,2,1,-2,0,1,1,1,1
249,54.0,0,26.0,0,1,-2,-2,1,0,0,2,-2,0,0,0,0,0
278,7.0,0,29.125,0,1,-2,227,6,2,1,0,-2,0,0,0,0,0
516,34.0,0,10.5,0,0,12,-2,0,0,0,2,-2,1,1,1,1,1
575,19.0,0,14.5,0,1,-2,94,0,0,0,0,-2,0,0,0,0,0
470,28.0,1,7.25,0,1,-2,-2,0,0,0,0,-2,0,0,0,0,0
753,23.0,0,7.8958,0,1,-2,-2,0,0,0,0,-2,0,0,0,0,0
204,18.0,0,8.05,0,1,-2,-2,0,0,0,0,-2,0,0,0,0,1
23,28.0,0,35.5,0,1,-2,-2,0,0,0,1,-2,0,0,0,0,1
274,28.0,1,7.75,0,0,-2,-2,0,2,0,0,-2,1,1,0,0,1
878,28.0,1,7.8958,0,1,-2,-2,0,0,0,0,-2,0,0,0,0,0
624,21.0,0,16.1,0,1,-2,123,0,0,0,0,-2,0,0,0,0,0
5,28.0,1,8.4583,0,1,-2,-2,0,2,0,0,-2,0,0,0,0,0
700,18.0,0,227.525,0,0,-2,377,1,1,0,1,-2,1,1,1,1,1
369,24.0,0,69.3,0,0,53,258,0,1,0,1,-2,1,1,1,1,1
322,30.0,0,12.35,0,0,-2,-2,0,2,0,2,-2,1,1,1,1,1
739,28.0,1,7.8958,0,1,-2,-2,0,0,0,0,-2,0,0,0,0,0
447,34.0,0,26.55,0,1,-2,-2,0,0,0,1,-2,0,0,0,0,1
74,32.0,0,56.4958,0,1,-2,107,0,0,0,0,-2,0,0,0,0,1
862,48.0,0,25.9292,0,0,27,-2,0,0,0,1,-2,1,1,0,1,1
528,39.0,0,7.925,0,1,-2,-2,0,0,0,0,-2,0,0,0,0,0
58,5.0,0,27.75,0,0,-2,274,1,0,2,2,-2,1,1,1,1,1
396,31.0,0,7.8542,0,0,-2,-2,0,0,0,0,-2,0,0,0,0,0
605,36.0,0,15.55,0,1,-2,-2,1,0,0,0,-2,0,0,0,0,0
640,20.0,0,7.8542,0,1,-2,-2,0,0,0,0,-2,0,0,0,0,0
540,36.0,0,71.0,0,0,45,222,0,0,2,1,-2,1,1,0,1,1
29,28.0,1,7.8958,0,1,-2,-2,0,0,0,0,-2,0,0,0,0,0
280,65.0,0,7.75,0,1,-2,-2,0,2,0,0,-2,0,0,0,0,0
349,42.0,0,8.6625,0,1,-2,-2,0,0,0,0,-2,0,0,0,0,0
233,5.0,0,31.3875,0,0,-2,226,6,0,2,0,-2,0,0,0,0,1
265,36.0,0,10.5,0,1,-2,-2,0,0,0,2,-2,0,0,1,0,0
377,27.0,0,211.5,0,1,-2,-2,0,1,2,1,-2,0,0,1,1,0
109,28.0,1,24.15,0,0,-2,-2,1,2,0,0,-2,1,1,0,0,1
311,18.0,0,262.375,0,0,-2,-2,2,1,2,1,-2,1,1,1,1,1
365,30.0,0,7.25,0,1,-2,-2,0,0,0,0,-2,0,0,0,0,0
84,17.0,0,10.5,0,0,-2,-2,0,0,0,2,-2,1,1,1,0,1
465,38.0,0,7.05,0,1,-2,-2,0,0,0,0,-2,0,0,0,0,0
476,34.0,0,21.0,0,1,-2,272,1,0,0,2,-2,0,0,0,0,0
222,51.0,0,8.05,0,1,-2,-2,0,0,0,0,-2,0,0,0,0,0
176,28.0,1,25.4667,0,1,-2,21,3,0,1,0,-2,0,0,0,0,0
163,17.0,0,8.6625,0,1,-2,-2,0,0,0,0,-2,0,0,0,0,0
798,30.0,0,7.2292,0,1,-2,-2,0,1,0,0,-2,0,0,0,0,0
763,36.0,0,120.0,0,0,85,369,1,0,2,1,-2,1,1,1,1,1
746,16.0,0,20.25,0,1,-2,-2,1,0,1,0,-2,0,0,0,0,0
363,35.0,0,7.05,0,1,-2,-2,0,0,0,0,-2,0,0,0,0,0
704,26.0,0,7.8542,0,1,-2,-2,1,0,0,0,-2,0,0,0,0,0
454,28.0,1,8.05,0,1,-2,-2,0,0,0,0,-2,0,0,0,0,0
402,21.0,0,9.825,0,0,-2,-2,1,0,0,0,-2,0,0,0,0,0
580,25.0,0,30.0,0,0,-2,-2,1,0,1,2,-2,1,1,1,1,1
221,27.0,0,13.0,0,1,-2,-2,0,0,0,2,-2,0,0,1,0,0
420,28.0,1,7.8958,0,1,-2,-2,0,1,0,0,-2,0,0,0,0,0
645,48.0,0,76.7292,0,1,-2,-2,1,1,0,1,-2,0,0,0,1,1
729,25.0,0,7.925,0,0,-2,-2,1,0,0,0,-2,0,0,0,0,0
158,28.0,1,8.6625,0,1,-2,-2,0,0,0,0,-2,0,0,0,0,0
849,28.0,1,89.1042,0,0,-2,-2,1,1,0,1,-2,1,1,1,1,1
47,28.0,1,7.75,0,0,-2,-2,0,2,0,0,-2,1,1,0,0,1
272,41.0,0,19.5,0,0,-2,-2,0,0,1,2,-2,1,1,0,1,1
154,28.0,1,7.3125,0,1,-2,-2,0,0,0,0,-2,0,0,0,0,0
405,34.0,0,21.0,0,1,-2,-2,1,0,0,2,-2,0,0,0,0,0
888,28.0,1,23.45,0,0,-2,-2,1,0,2,0,-2,0,0,0,0,0
866,27.0,0,13.8583,0,0,-2,-2,1,1,0,2,-2,1,1,1,1,1
612,28.0,1,15.5,0,0,-2,9,1,2,0,0,-2,1,1,0,0,1
382,32.0,0,7.925,0,1,-2,-2,0,0,0,0,-2,0,0,0,0,0
485,28.0,1,25.4667,0,0,-2,21,3,0,1,0,-2,0,0,0,0,0
177,50.0,0,28.7125,0,0,-2,-2,0,1,0,1,-2,1,1,0,1,0
559,36.0,0,17.4,0,0,-2,-2,1,0,0,0,-2,0,0,0,0,1
178,30.0,0,13.0,0,1,-2,-2,0,0,0,2,-2,0,0,1,0,0
133,29.0,0,26.0,0,0,-2,-2,1,0,0,2,-2,1,1,1,1,1
853,16.0,0,39.4,0,0,-2,-2,0,0,1,1,-2,1,1,1,1,1
364,28.0,1,15.5,0,1,-2,40,1,2,0,0,-2,0,0,0,0,0
191,19.0,0,13.0,0,1,-2,-2,0,0,0,2,-2,0,0,1,0,0
717,27.0,0,10.5,0,0,3,-2,0,0,0,2,-2,1,1,1,1,1
277,28.0,1,0.0,0,1,-2,350,0,0,0,2,-2,0,0,0,0,0
113,20.0,0,9.825,0,0,-2,-2,1,0,0,0,-2,0,0,0,0,0
709,28.0,1,15.2458,0,1,-2,-2,1,1,1,0,-2,0,0,0,0,1
773,28.0,1,7.225,0,1,-2,-2,0,1,0,0,-2,0,0,0,0,0
427,19.0,0,26.0,0,0,-2,-2,0,0,0,2,-2,1,1,1,1,1
802,11.0,0,120.0,0,1,85,369,1,0,2,1,-2,0,1,1,1,1
251,29.0,0,10.4625,0,0,36,200,1,0,1,0,-2,0,0,0,0,0
301,28.0,1,23.25,0,1,-2,300,2,2,0,0,-2,0,0,0,0,1
481,28.0,1,0.0,0,1,-2,-2,0,0,0,2,-2,0,0,1,0,0
279,35.0,0,20.25,0,0,-2,-2,1,0,1,0,-2,0,0,0,0,1
4,35.0,0,8.05,0,1,-2,-2,0,0,0,0,-2,0,0,0,0,0
734,23.0,0,13.0,0,1,-2,-2,0,0,0,2,-2,0,0,1,0,0
683,14.0,0,46.9,0,1,-2,52,5,0,2,0,-2,0,0,0,0,0
606,30.0,0,7.8958,0,1,-2,-2,0,0,0,0,-2,0,0,0,0,0
197,42.0,0,8.4042,0,1,-2,-2,0,0,1,0,-2,0,0,0,0,0
813,6.0,0,31.275,0,0,-2,232,6,0,2,0,-2,0,0,0,0,0
436,21.0,0,34.375,0,0,-2,257,2,0,2,0,-2,0,0,0,0,0
116,70.5,0,7.75,0,1,-2,-2,0,2,0,0,-2,0,0,0,0,0
489,9.0,0,15.9,0,1,-2,465,1,0,1,0,-2,0,0,0,0,1
198,28.0,1,7.75,0,0,-2,-2,0,2,0,0,-2,1,1,0,0,1
